Region,Country,Vine Area ('000 ha),Cropland under vines (%),Wine produced (ML),Wine consumed (ML),Wine consumed (l/capita),Wine expenditure (US$m 2015),Per capita wine expenditure (US$ 2015),Population (millions),GDP (billion US$ real 1990),GDP per capita ('000 US$),Wine export vol. (ML),Wine import vol. (ML),Value of wine exports (US$ mill),Value of wine imports (US$ mill),Bottled still wine exports (ML),Bottled still wine imports (ML),Sparkling wine exports (ML),Sparkling wine imports (ML),Bulk wine exports (ML),Bulk wine imports (ML),Unit value exports (US$/litre),Unit value imports (US$/litre),% of global prod'n volume,% of global cons'n volume,% of '15 global wine expend.,Wine as % of alcohol cons'n volume,Exports as % of prod'n volume,Imports as % of cons'n volume,Wine self- suff.  (%),% of world export volume,% of world export value,% of world import volume,% of world import value,Index of wine comp. advant.
ANZ,Australia,133.47866666666667,0.5708488786284286,1229.1786666666667,552.169,23.117484358849282,7029.1,296.40897966406857,23.884666666666668,682.1627023190105,28.560695941008614,739.5333333333333,88.54,1671.1033333333335,573.026932779948,323.84503666666666,56.57343866666667,11.851405333333334,14.434450666666665,410.747415,18.677513,2.260152267869483,6.484058627038962,4.517873125273321,2.249551850210848,2.285077655074493,35.91221384261796,60.262850700731,16.034855887288376,222.54847666832367,6.951345066326432,5.052491647452275,0.8326957900344816,1.7189220123887967,4.096115672410886
ANZ,New Zealand,35.78966666666667,,289.66666666666663,106.81246043666665,23.352341404571366,1520.15,336.883440305852,4.574669333333333,95.47289704426561,20.869901207635326,206.06666666666663,37.47533333333333,1108.8603333333333,128.35,143.80832533333333,15.359553666666665,1.4601993333333334,3.605900333333333,68.15578133333334,18.952693666666665,5.394105905619887,3.4290982411222033,1.065265813532205,0.43524910975294423,0.49565958725643544,36.62785084692332,72.81736811404019,35.067618519873,270.61493752233145,1.936046842958983,3.351735051913195,0.3522342874973579,0.38534996750513945,15.62524096484673
USC,Canada,11.066666666666668,0.02210991787744788,54.88766666666667,498.00989999800794,13.993840528352179,9724.85,272.3383846994082,35.90924,982.8125694259465,27.369350323926284,70.00533333333334,404.68233333333336,65.84599999999999,1836.9950000000001,1.5496416666666668,277.17637033333335,0.5907153333333334,13.634365666666667,67.81602866666667,113.86723633333334,0.9424924567495453,4.551250612052311,0.20161412124273606,2.026290067730563,3.2035261744784354,25.641025640961875,127.52410905609524,77.29264016669944,10.97628782082819,0.6574314306339176,0.19925632428234763,3.806927259656334,5.515598744351903,0.07990558995649591
USC,USA,574.5333333333333,0.266276517922458,3083.7999999999997,3390.1855649999998,10.574163546832342,41822.45,130.59293468939057,429.6740883333334,14279.914552169937,33.23429301394558,569.3896666666666,1469.9120000000003,2095.2563333333333,7608.139999999999,231.892378,834.6369920000001,4.9959015,120.35839233333333,181.98474566666667,254.71925233333332,3.6815917835981886,5.167853581490321,11.329432604443602,13.682428574060705,14.80512578101168,17.911116228956473,13.641630216719577,32.12532473161952,89.98447683847695,3.9565480927779677,4.690651236208683,10.327174979995812,17.075070273944437,0.5208305688012691
LAC,Argentina,225.13333333333333,0.5631840796019901,1264.5666666666666,860.9769898298897,20.03202580263422,4006.5,92.70978219632119,43.33226033333333,473.59286797679425,10.92933681127368,265.41366666666664,3.9151403333333334,825.4915793333333,7.569528000000001,192.56966066666666,0.16114933333333334,3.9530613333333338,0.24103133333333335,68.61341366666667,3.5133913333333333,3.1108326814241756,9.309842098929005,4.634101288237332,3.5031213697636168,1.509726928089707,45.09803921560846,21.804011973080893,0.043671318100416294,176.29971740590932,2.4945296042193124,2.4954794766113095,0.03723046435836042,0.023024414646744717,6.858388614527736
LAC,Brazil,81.93333333333334,0.09100463107323101,261.06666666666666,361.2598019439717,1.747755244394409,4546,21.978461674335506,206.675142,1537.5844166505956,7.4396195003006005,2.297,85.05266666666667,6.749666666666666,299.441,1.4922719999999998,80.49199499999999,0.2334146666666667,3.8825006666666666,0.23938933333333332,0.45874733333333334,2.8533828823717733,3.541154629674549,0.9549398246144651,1.4710453892318818,1.3665595694126904,3.698630136974406,0.9948235899044832,23.595441259452397,71.72282410476903,0.021726692204110023,0.020129442432804595,0.8002499861945087,0.8982261515298774,0.016951331855751057
LAC,Chile,140.19733333333332,7.880412371134021,1152.5206666666666,225.8,12.71206932165009,1152.1999999999998,64.52606691766981,17.970262666666667,296.050421530792,16.47446267326636,866.1133333333333,2.3006666666666664,1850.6706666666666,9.846333333333332,482.70695333333333,0.7097680000000001,4.508807666666667,1.4434543333333334,373.5345236666667,0.14716766666666667,2.142639431905256,4.452486207487996,4.228170128523333,0.9187293210343636,0.40717130725781286,30.944857987111725,76.01205725080132,0.7533215234720992,537.6439326837909,8.138522630478485,5.596745106806562,0.021682185041864033,0.029662196383634095,14.394248302454884
LAC,Mexico,27.2,0.10596026490066225,39.36,172.87798583264185,1.3787680928246644,1825.25,14.466702649995273,127.00101900000001,1101.0152081892047,8.66934152858415,1.2101866783192954,59.458561333333336,5.544315360911052,229.68566833333333,0.645806,44.97173833333333,0.5468656666666666,6.605440333333334,0.017233333333333333,9.210054666666666,4.595059398443068,3.8952131990428795,0.1437032729073301,0.7034015701763126,0.6137135268457928,4.4061302681856525,3.019674885563734,31.414063357132115,22.76750264669515,0.01136403813532324,0.016799251041030288,0.559690295531721,0.6910507038501712,0.007391323799608898
LAC,Uruguay,10,0.30612244897959184,72.5,70.88144524892171,20.72850229357655,477.1,139.2732657970618,4.617023666666667,62.228020521083984,13.47795138464397,4.445577654073079,5.138294292602539,12.263099733194986,13.788883999999998,2.501953,2.6067626666666666,0.0060279999999999995,0.40007533333333334,0.8140443333333333,0.003261,2.8617669118944065,2.7771893341919967,0.26469733957778024,0.28840062917394266,0.16869817531183945,52.24992804088985,5.790401327198949,8.812112755139735,102.28346747924545,0.031370130148412396,0.027408147338445,0.038525846132186875,0.030651231637594045,0.5892595281222539
LAC,Other LAC,36,0.09183673469387754,109,202.92687895898436,0.9174725598173544,911.8999999999999,16.603713014382972,223.6482553333333,,,10.156355999999999,103.88810865299479,17.443327463439942,348.2347336106771,10.580813333333333,82.28349033333333,1.9780196666666665,11.825267000000002,0.422506,6.318631666666666,2.675771579505577,3.354043463049221,0.39795875881349035,0.8256637454632868,0.6707926414203751,4.857118969242174,18.354155045871558,62.700864770458296,53.71392915476274,0.09653210740401202,0.05300219536334416,0.9753577855468398,1.0399273904094917,
AME,Algeria,66.4,0.7868230833037091,52,57.537333333333336,1.477804483141624,1726.1,43.948094577026694,39.80028433333332,158.75618396411042,3.9888203469729935,0.23579866666666663,9.080043333333332,0.7380436666666667,9.711576666666666,0.18909600000000001,3.9264303333333337,1e-05,0.088734,0.021868333333333333,2.501723666666667,3.0951745118963685,1.0931393744088596,0.18985188493854582,0.23410644458574487,0.5657475920509419,41.961095093858944,0.5173076923076924,12.988088893008594,90.3761036312655,0.0022218145839941745,0.002214630401523372,0.08554287495674279,0.029222040318448838,4.875692773164232
AME,Morocco,43.4,0.45246038365304414,37,43.13990624982744,1.271768169596681,450.25,13.188596816299755,34.33290466666667,161.80635082406886,4.712865176862368,6.656344666666667,2.322775666666667,11.339338,13.621705666666665,0.8995700000000001,1.825684,0.0016775,0.30921400000000004,5.755656666666667,0.18812099999999998,1.8175973613936234,5.994428875623497,0.13508691812934992,0.1755265579202394,0.1507848639127472,48.837209302243814,12.74054054054054,7.012069016751978,85.7674557420903,0.062260443649405105,0.03425576381752073,0.021799885056311624,0.040857707884400164,0.03564739759742023
AME,South Africa,122.56666666666666,2.3358490566037737,1107.3999999999999,427.8822412482886,7.928288705010256,2014.6499999999999,37.158270270039736,54.719820000000006,305.55197906337827,5.583936114252171,423.6666666666667,2.588,704.8083333333333,28.548666666666666,172.1342086666667,1.2253813333333332,8.256774333333334,0.8364253333333332,305.29967833333336,0.525043,1.6639809322530086,11.193785663817025,4.065813706442533,1.7409564259729935,0.6727404966404714,21.159874608098534,38.31749334966005,0.5050454988960454,267.8306995533864,3.9835698117463303,2.125793365577544,0.024362361766293455,0.08589218666177033,0.061201766290707504
AME,Tunisia,30.8,0.4472477064220183,21.5,27.033956833225197,2.428893331864519,353.9,31.68381690897516,14.994569333333333,103.02588053916439,6.870879599731823,1.5325473333333335,0.21337466666666663,5.013748,1.4954999999999998,0.200989,0.059114,0.013454333333333332,0.08576233333333333,1.0570266666666666,,3.7149071118298287,9.226315789473684,0.07849645242651415,0.10999507885855306,0.11061034999827823,27.536231883997115,9.274418604651164,0.7768008260703679,79.52960838339482,0.012621959202822974,0.011146198722942835,0.0015379667424727517,0,0.027637674143510548
AME,Turkey,641.3666666666667,1.9508018710324089,44.707,62.19447324975123,0.8022630840710625,1339.75,17.3638730530376,105.06320600000001,1169.1966477439298,11.128507231579528,5.713102689107259,3.007,13.98479072825114,13.654000000000002,2.666222,2.0103866666666668,0.029978333333333333,0.21371166666666666,0.2822806666666667,0.09591300000000001,2.4639170616424653,4.757230133952258,0.16322515807591478,0.25305529752362194,0.4468240742383277,9.027777777750131,9.491372866266529,4.407144006177371,71.88259288003347,0.04048344900629858,0.03205529326676946,0.021864181683876088,0.03360183744275038,0.021766604393102768
AME,Other AME,500,0.1851851851851852,35,250,0.20098895784503382,1887.3000000000002,2.2095213783235814,1233.9498089189467,,,28.600985999999995,242.56782307674155,86.08108317439776,590.8394785384115,20.892804333333334,187.09436866666667,1.930549,28.345826666666667,17.87132766666667,62.59064966666666,3.1789090489582215,2.342118667906289,0.1277849225547905,1.017193668107134,0.5149990069416694,7.943942557601759,91.64409428571429,148.63787689208985,14.000000000000002,0.27013666930746827,0.26054908490201634,2.2713153860076942,1.7395806423846538,0.2759530240531724
APA,China,825.3333333333334,0.6564245810055866,1025.1788247633642,1542.4048247633643,1.120817685087207,39507.25,28.957058902067146,1375.9358710000001,15104.211221053469,10.977409296027771,7.299333333333333,524.5536666666667,363.07631499999997,1969.234333333333,7.009146666666666,388.705717,0.10790266666666666,13.131154666666667,0.18078933333333333,123.940882,46.87943991532776,3.773617508613631,3.7648679730017456,6.285461231232767,14.045392678916588,2.683361246067346,0.7223597853940721,33.776460117994596,66.69201735949407,0.06837848183580998,1.1130199139240737,4.943832026845276,5.969406447800371,0.08334520994570006
APA,Hong Kong,0,,,34.002,4.664237497569285,520.35,71.56373873041372,7.286950666666667,252.64513097886325,34.67089905446456,25.611,59.613,534.3746666666666,1344.3010000000002,24.545254,56.447496,0.4486586666666666,2.3925083333333332,0.6171506666666666,0.77102,20.468565633214233,22.45228070134921,,0.1385198323686428,0.18800281186814272,24.28619010387241,,175.25190195612524,,0.24041260768733883,1.6312417420418892,0.5610633163177625,4.068682842758995,0.5262029658903629
