,wpm,acc,rawWpm,consistency,charStats,testDuration,language
60,112.8,99.3,112.8,79.28,"141,0,0,0",15.0,english
61,99.2,97.64,99.2,78.93,"124,0,0,0",15.0,english
62,97.6,96.88,97.6,71.34,"122,0,0,0",15.0,english
63,101.6,93.53,111.2,76.21,"127,6,1,0",15.0,english
64,104.0,96.32,104.0,63.0,"130,0,0,0",15.0,english
65,104.0,97.04,104.0,74.66,"130,0,0,0",15.0,english
66,108.0,95.74,108.0,72.59,"135,0,0,0",15.0,english
67,81.6,94.55,85.6,59.67,"102,2,0,0",15.0,english
68,100.0,98.43,100.0,71.77,"125,0,0,0",15.0,english
69,88.0,90.15,100.0,58.91,"110,5,0,1",15.0,english
70,116.72,95.45,120.72,77.1,"146,4,0,1",15.01,english
71,108.0,98.56,111.2,75.56,"135,1,0,0",15.0,english
72,105.6,94.41,114.4,78.04,"132,6,1,0",15.0,english
73,119.2,98.04,119.2,78.46,"149,0,0,0",15.0,english
74,106.4,95.74,106.4,71.51,"133,0,0,0",15.0,english
75,105.53,96.4,109.53,75.56,"132,2,0,0",15.01,english
76,99.2,90.41,112.0,75.55,"124,5,2,0",15.0,english
77,113.6,96.05,121.6,79.03,"142,2,2,0",15.0,english
78,116.0,100.0,116.0,82.42,"145,0,0,0",15.0,english
79,106.4,96.38,106.4,68.2,"133,0,0,0",15.0,english
80,109.6,95.92,109.6,74.68,"137,0,0,0",15.0,english
81,115.92,95.48,119.12,82.81,"145,2,0,0",15.01,english
82,113.6,96.03,117.6,81.34,"142,2,0,0",15.0,english
83,122.4,100.0,122.4,84.31,"153,0,0,0",15.0,english
84,128.8,98.18,132.0,83.74,"161,2,0,0",15.0,english
85,101.53,97.78,101.53,74.34,"127,0,0,0",15.01,english
86,103.2,96.32,105.6,63.66,"129,1,0,0",15.0,english
87,120.8,98.72,120.8,76.5,"151,0,0,0",15.0,english
88,116.0,98.03,121.6,79.03,"145,2,0,0",15.0,english
89,100.0,91.72,111.2,69.16,"125,4,0,0",15.0,english
90,108.0,97.12,108.0,73.72,"135,0,0,0",15.0,english
91,99.93,94.7,99.93,70.31,"125,0,0,0",15.01,english
92,96.8,97.58,96.8,58.25,"121,0,0,0",15.0,english
93,106.33,89.35,135.11,86.46,"133,9,3,2",15.01,english
94,107.2,97.1,107.2,76.45,"134,0,0,0",15.0,english
95,108.8,97.87,112.8,73.43,"136,2,0,0",15.0,english
96,104.0,96.35,108.8,74.44,"130,2,1,0",15.0,english
97,111.13,99.29,111.13,79.15,"139,0,0,0",15.01,english
98,84.74,82.31,112.72,73.87,"106,8,7,2",15.01,english
99,113.52,99.3,113.52,74.35,"142,0,0,0",15.01,english
100,89.6,96.67,89.6,64.65,"112,0,0,0",15.0,english
101,97.53,94.62,97.53,62.17,"122,0,0,0",15.01,english
102,110.4,95.95,116.0,79.44,"138,4,0,1",15.0,english
103,113.52,97.93,113.52,71.82,"142,0,0,0",15.01,english
104,112.72,97.97,118.32,83.93,"141,2,0,0",15.01,english
105,87.94,92.5,87.94,59.71,"110,0,0,0",15.01,english
106,104.0,92.16,120.0,79.69,"130,5,1,0",15.0,english
107,98.33,93.42,103.13,71.66,"123,0,1,0",15.01,english
108,120.0,99.34,120.0,83.54,"150,0,0,0",15.0,english
109,113.6,95.97,118.4,83.37,"142,3,1,0",15.0,english
110,116.8,97.42,122.4,76.12,"146,0,1,0",15.0,english
111,109.6,96.0,109.6,79.67,"137,0,0,0",15.0,english
112,86.4,89.55,102.4,69.02,"108,6,0,0",15.0,english
113,108.0,91.08,125.6,82.26,"135,9,2,0",15.0,english
114,120.0,95.03,128.8,88.48,"150,5,1,0",15.0,english
115,120.8,98.71,124.0,82.1,"151,0,1,0",15.0,english
116,96.0,87.26,124.8,76.37,"120,10,3,2",15.0,english
117,95.2,93.94,100.8,67.02,"119,2,0,0",15.0,english
118,97.6,92.2,110.4,71.78,"122,4,2,0",15.0,english
119,107.2,95.07,110.4,77.89,"134,2,0,0",15.0,english
120,124.8,96.93,128.8,83.24,"156,2,0,1",15.0,english
121,105.6,93.2,116.8,69.69,"132,5,1,0",15.0,english
122,100.73,94.24,106.33,78.98,"126,1,0,1",15.01,english
123,122.4,98.08,122.4,80.83,"153,0,0,0",15.0,english
124,115.2,98.63,115.2,75.27,"144,0,0,0",15.0,english
125,107.2,93.96,117.6,76.62,"134,1,4,1",15.0,english
126,112.8,93.75,128.0,88.82,"141,4,2,1",15.0,english
127,91.2,86.09,117.6,73.48,"114,11,1,1",15.0,english
128,116.8,94.58,132.8,83.03,"146,4,2,0",15.0,english
129,112.0,96.75,123.2,86.47,"140,3,0,2",15.0,english
130,110.4,88.82,128.8,87.52,"138,13,1,2",15.0,english
131,117.6,95.0,125.6,78.99,"147,2,1,0",15.0,english
132,114.4,93.21,129.6,84.8,"143,8,0,1",15.0,english
133,118.4,99.33,118.4,78.11,"148,0,0,0",15.0,english
134,116.0,95.48,123.2,79.8,"145,4,0,0",15.0,english
135,116.8,98.66,116.8,66.42,"146,0,0,0",15.0,english
136,92.8,93.55,92.8,68.01,"116,0,0,0",15.0,english
