StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
032829,265000,2,363050,1.37,1.37,1.37,1.37,-0.01,2023-02-01
03282P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03282U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032830,52000,5,91900,1.74,1.8,1.69,1.8,0.09,2023-02-01
032831,148000,7,309520,2.13,2.13,2.04,2.04,0.04,2023-02-01
032832,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032833,23000,2,46920,2.04,2.04,2.04,2.04,0.1,2023-02-01
032834,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032835,35000,4,95600,2.8,2.8,2.68,2.68,0.18,2023-02-01
032836,334000,5,552930,1.62,1.7,1.62,1.63,0.07,2023-02-01
032837,132000,3,209760,1.56,1.6,1.55,1.55,-0.19,2023-02-01
032838,77000,3,245310,3.18,3.21,3.18,3.21,-0.45,2023-02-01
032839,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03283P,15000,3,6400,0.43,0.43,0.42,0.43,-0.05,2023-02-01
03283U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032840,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032841,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032842,65000,9,62320,0.95,1.07,0.89,1.07,0.22,2023-02-01
032843,74000,1,102860,1.39,1.39,1.39,1.39,-0.06,2023-02-01
032844,324000,5,694020,2.13,2.21,2.13,2.16,0.22,2023-02-01
032845,42000,8,40780,0.95,1.02,0.91,1.02,0.0,2023-02-01
032846,1102000,6,2680100,2.46,2.49,2.4,2.45,0.07,2023-02-01
032847,30000,3,54200,1.69,2.01,1.69,2.01,0.33,2023-02-01
032848,5000,1,8250,1.65,1.65,1.65,1.65,0.16,2023-02-01
032849,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03284P,300000,2,9000,0.03,0.03,0.03,0.03,0.0,2023-02-01
03284U,8000,4,8340,1.02,1.09,1.02,1.09,0.04,2023-02-01
032850,22000,2,37840,1.72,1.72,1.72,1.72,0.06,2023-02-01
032851,62000,4,114060,1.85,1.87,1.72,1.72,-0.07,2023-02-01
032852,6000,2,9490,1.74,1.74,1.55,1.55,-0.13,2023-02-01
032853,12000,2,14860,1.23,1.24,1.23,1.24,0.0,2023-02-01
032854,26000,4,76430,2.97,2.97,2.92,2.95,0.02,2023-02-01
032855,24000,1,29040,1.21,1.21,1.21,1.21,0.02,2023-02-01
032856,16000,1,20000,1.25,1.25,1.25,1.25,0.0,2023-02-01
032857,51000,2,73640,1.44,1.45,1.44,1.45,0.05,2023-02-01
032858,54000,2,73660,1.36,1.37,1.36,1.37,0.04,2023-02-01
032859,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03285P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03285U,180000,11,106700,0.61,0.61,0.58,0.58,-0.07,2023-02-01
032860,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032861,200000,4,228400,1.14,1.15,1.14,1.15,0.05,2023-02-01
032862,173000,8,212120,1.21,1.24,1.2,1.22,0.03,2023-02-01
032863,28000,2,38080,1.36,1.36,1.36,1.36,0.1,2023-02-01
032864,4000,1,4600,1.15,1.15,1.15,1.15,0.03,2023-02-01
032865,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032866,6000,1,8520,1.42,1.42,1.42,1.42,0.0,2023-02-01
032867,17000,3,39040,2.41,2.41,2.23,2.24,0.24,2023-02-01
032868,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032869,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03286P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03286U,1272000,6,498610,0.39,0.4,0.39,0.39,0.05,2023-02-01
032870,86000,14,164200,2.34,2.34,1.85,1.86,-0.64,2023-02-01
032871,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032872,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032873,10000,2,30500,3.04,3.06,3.04,3.06,0.24,2023-02-01
032874,10000,1,15000,1.5,1.5,1.5,1.5,-0.09,2023-02-01
032875,78000,1,62400,0.8,0.8,0.8,0.8,0.03,2023-02-01
032876,152000,12,269600,1.7,1.82,1.7,1.79,0.21,2023-02-01
032877,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032878,99000,8,214970,2.22,2.24,2.14,2.18,-0.09,2023-02-01
032879,27000,4,29460,1.08,1.1,1.08,1.08,0.02,2023-02-01
03287P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
